Frame(0) : Total Error(0.427864), MaxPixelError(0.611765), PixelVariance(0.305554) 
Frame(1) : Total Error(0.420354), MaxPixelError(0.682353), PixelVariance(0.280750) 
Frame(2) : Total Error(0.409236), MaxPixelError(0.831373), PixelVariance(0.241559) 
Frame(3) : Total Error(0.387774), MaxPixelError(0.996078), PixelVariance(0.194525) 
Frame(4) : Total Error(0.322569), MaxPixelError(0.996078), PixelVariance(0.116642) 
Frame(5) : Total Error(0.280556), MaxPixelError(0.996078), PixelVariance(0.072732) 
Frame(6) : Total Error(0.340449), MaxPixelError(0.976471), PixelVariance(0.113534) 
Frame(7) : Total Error(0.355675), MaxPixelError(0.976471), PixelVariance(0.123124) 
Frame(8) : Total Error(0.363241), MaxPixelError(0.976471), PixelVariance(0.127527) 
Frame(9) : Total Error(0.368366), MaxPixelError(0.976471), PixelVariance(0.130318) 
Frame(10) : Total Error(0.370658), MaxPixelError(0.976471), PixelVariance(0.131475) 
Frame(11) : Total Error(0.371657), MaxPixelError(0.976471), PixelVariance(0.132091) 
Frame(12) : Total Error(0.371960), MaxPixelError(0.976471), PixelVariance(0.132348) 
Frame(13) : Total Error(0.372009), MaxPixelError(0.976471), PixelVariance(0.132360) 
Frame(14) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(15) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(16) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(17) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(18) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(19) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(20) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(21) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(22) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(23) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(24) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(25) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(26) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(27) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(28) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(29) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
Frame(30) : Total Error(0.372011), MaxPixelError(0.976471), PixelVariance(0.132361) 
