Frame(0) : Total Error(0.422166), MaxPixelError(0.764706), PixelVariance(0.303152) 
Frame(1) : Total Error(0.419472), MaxPixelError(0.768627), PixelVariance(0.282631) 
Frame(2) : Total Error(0.417741), MaxPixelError(0.831373), PixelVariance(0.251076) 
Frame(3) : Total Error(0.417613), MaxPixelError(0.909804), PixelVariance(0.220248) 
Frame(4) : Total Error(0.420069), MaxPixelError(0.996078), PixelVariance(0.193280) 
Frame(5) : Total Error(0.220194), MaxPixelError(0.996078), PixelVariance(0.045186) 
Frame(6) : Total Error(0.286263), MaxPixelError(0.996078), PixelVariance(0.081376) 
Frame(7) : Total Error(0.379309), MaxPixelError(0.992157), PixelVariance(0.144301) 
Frame(8) : Total Error(0.410491), MaxPixelError(0.976471), PixelVariance(0.169851) 
Frame(9) : Total Error(0.424139), MaxPixelError(0.976471), PixelVariance(0.180893) 
Frame(10) : Total Error(0.430404), MaxPixelError(0.972549), PixelVariance(0.186553) 
Frame(11) : Total Error(0.433276), MaxPixelError(0.972549), PixelVariance(0.189030) 
Frame(12) : Total Error(0.434050), MaxPixelError(0.972549), PixelVariance(0.189555) 
Frame(13) : Total Error(0.434111), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(14) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(15) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(16) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(17) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(18) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(19) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(20) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(21) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(22) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(23) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(24) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(25) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(26) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(27) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(28) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(29) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
Frame(30) : Total Error(0.434113), MaxPixelError(0.972549), PixelVariance(0.189611) 
